CNVofInterest,Syndrome,Locus,Chr,Start,Stop,Length,Pos_start,Pos_stop,hg19_original,n,source,hg19_forconvert,hg18_converted
1p36_GABRD,1p36_GABRD,1p36,1,0,2489861,2489861,0,2800000,chr1:0-2500000,2,Kendalletal2017,chr1:0-2500000,Failed_Sequence_insufficiently_intersects_multiple_chains:-
1q21_TAR,TAR,1q21.1,1,144106312,144519174,412862,143506312,145219174,"chr1:145,394,955-145,807,817",2,Kendalletal2017,chr1:145394955-145807817,chr1:144106312-144519174
1q21.1_distal,1q21.1_distal,1q21.1,1,144994611,145861068,866457,144300000,146461068,"chr1:146,527,987-147,394,444",2,Kendalletal2017,chr1:146527987-147394444,chr1:144994611-145861068
1q21.1_distalprox,1q21.1_distalprox,1q21.1,1,144106312,145861068,1754756,143506312,146461068,"chr1:145,394,955-147,394,444",2,Kendalletal2017,chr1:145394955-147394444,chr1:144106312-145861068
2p16.3_NRXN1,NRXN1,2p16.3,2,49999147,51113178,1114031,49299147,51813178,chr2:50145643-51259674,1,Kendalletal2017,chr2:50145643-51259674,chr2:49999147-51113178
2q11.2,"2q11.2_LMAN2L,ARID5A",2q11.2,2,96106136,97041243,935107,94506136,98641243,"chr2:96,742,409-97,677,516",2,Kendalletal2017,chr2:96742409-97677516,chr2:96106136-97041243
2q13_NHP1,2q13_NPHP1,2q13,2,110220005,110341237,121232,109020005,112941237,"chr2:110,862,716-110,983,948",2,Kendalletal2017,chr2:110862716-110983948,chr2:110220005-110341237
2q13,2q13,2q13,2,111110510,111729120,618610,110010510,113529120,"chr2:111,394,040-112,012,649",2,Kendalletal2017,chr2:111394040-112012649,chr2:111110510-111729120
2q21.1,2q21.1,2q21.1,2,131197778,131647147,449369,130797778,132047147,"chr2:131,481,308-131,930,677",2,Kendalletal2017,chr2:131481308-131930677,chr2:131197778-131647147
2q37_HDAC4,2q37_HDAC4,2q37,2,239381424,242864118,3482694,239281424,243864118,"chr2:239,716,679-243,199,373",2,Kendalletal2017,chr2:239716679-243199373,Failed_Sequence_insufficiently_intersects_multiple_chains:-
3q29,3q29,3q29,3,197204564,198839223,1634659,192804564,199539223,"chr3:195,720,167-197,354,826",2,Kendalletal2017,chr3:195720167-197354826,chr3:197204564-198839223
4p16.3_WH,Wolf-Hirschhorn,4p16.3,4,1522161,2061101,538940,1122161,2461101,"chr4:1,552,030-2,091,303",2,Kendalletal2017,chr4:1552030-2091303,chr4:1522161-2061101
5q35_Sotos,5q35_SotosSyndrome,5q35,5,175653530,176985200,1331670,175053530,177585200,"chr5:175,720,924-177,052,594",2,Kendalletal2017,chr5:175720924-177052594,chr5:175653530-176985200
6q16_SIM1,6q16_SIM1,6q16,6,100943471,101018532,75061,100743471,101318532,"chr6:100,836,750-100,911,811",2,Kendalletal2017,chr6:100836750-100911811,chr6:100943471-101018532
7q11.23_WBS,7q11.23_WBS,7q11.23,7,72382851,73780828,1397977,70582851,75180828,"chr7:72,744,915-74,142,892",2,Kendalletal2017,chr7:72744915-74142892,chr7:72382851-73780828
7q11.23,7q11.23distal_1.2-Mb,7q11.23,7,74976230,75902348,926118,73576230,76502348,"chr7:75,138,294-76,064,412",2,Kendalletal2017,chr7:75138294-76064412,chr7:74976230-75902348
8p23.1,8p23.1,8p23.1,8,8136400,11909967,3773567,6036400,14309967,"chr8:8,098,990-11,872,558",2,Kendalletal2017,chr8:8098990-11872558,chr8:8136400-11909967
9q34_EHMT1,9q34_EHMT1,9q34 ,9,139633265,139850399,217134,139233265,140250399,"chr9:140,513,444-140,730,578",2,Kendalletal2017,chr9:140513444-140730578,chr9:139633265-139850399
10q11.22-23,10q11.21q11.23,10q11.21q11.23,10,49060205,50728802,1668597,48060205,52528802,"chr10:49,390,199-51,058,796",2,Kendalletal2017,chr10:49390199-51058796,chr10:49060205-50728802
10q23_NRG3_GRID1,"10q23_NRG3,GRID1",10q22q23,10,82035452,88921631,6886179,80035452,91021631,"chr10:82,045,472-88,931,651",2,Kendalletal2017,chr10:82045472-88931651,chr10:82035452-88921631
11p11.2_EXT2,11p11.2_EXT2_Potocki_shaffer,11p11.2 ,11,43896576,45976576,2080000,42896576,46876576,"chr11:43,940,000-46,020,000",2,Kendalletal2017,chr11:43940000-46020000,chr11:43896576-45976576
13q12.11 ZMYM5,13q12_CRYL1,13q12 ,13,19875806,19998012,122206,19475806,20398012,"chr13:20,977,806-21,100,012",2,Kendalletal2017,chr13:20977806-21100012,chr13:19875806-19998012
13q12.12,13q12.12,13q12.12,13,22453358,23782622,1329264,21053358,25382622,"chr13:23,555,358-24,884,622",2,Kendalletal2017,chr13:23555358-24884622,chr13:22453358-23782622
15q11.2,15q11.2BP1-BP2,15q11.2,15,20356677,20645971,289294,19706677,21745971,"chr15:22,805,313-23,094,530",2,Kendalletal2017,chr15:22805313-23094530,chr15:20356677-20645971
15q11.2-13.1_BP1-2,15q11.2q12_PWS_AS,15q11.2q12,15,20356677,26063934,5707257,19006677,28063934,"chr15:22,805,313-28390339",2,Kendalletal2017,chr15:22805313-28390339,chr15:20356677-26063934
15q13.1_BP3-4,"15q11q13BP3-BP4_APBA2,TJP1",15q13.1q13.2,15,26996736,28163259,1166523,25596736,29563259,"chr15:29,161,368-30,375,967",2,Kendalletal2017,chr15:29161368-30375967,chr15:26996736-28163259
15q11q13_BP3_BP5,15q11q13BP3-BP5,15q13.1q13.3,15,26996736,30250068,3253332,25596736,31550068,"chr15:29,161,368-32462776",2,Kendalletal2017,chr15:29161368-32462776,chr15:26996736-30250068
15q13.3_BP4-BP5,15q13.3BP4-BP5,15q13.3 ,15,28867937,30250068,1382131,27567937,31550068,"chr15:31,080,645-32,462,776",2,Kendalletal2017,chr15:31080645-32462776,chr15:28867937-30250068
15q13.3_BP4.5-BP5,15q13.3_CHRNA7,15q13.3 ,15,29804362,30240360,435998,29067937,31250068,"chr15:32,017,070-32,453,068",2,Kendalletal2017,chr15:32017070-32453068,chr15:29804362-30240360
15q24,15q24,15q24,15,70687225,75938308,5251083,70087225,76538308,chr15:72900171-78151253,2,Kendalletal2017,chr15:72900171-78151253,chr15:70687225-75938308
15q25,15q25,15q25.2,15,81016790,83523043,2506253,80016790,84323043,"chr15:83,219,735-85,722,039",2,Kendalletal2017,chr15:83219735-85722039,chr15:81016790-83523043
16p13.3_Rubinstein_Taybi_CREBBP,Rubinstein-Taybi_CREBBP,16p13.3 ,16,3715057,3870122,155065,3455057,4270122,"chr16:3,775,056-3,930,121",2,Kendalletal2017,chr16:3775056-3930121,chr16:3715057-3870122
16p13.11,16p13.11,16p13.11,16,15419156,16201190,782034,14519156,17101190,"chr16:15,511,655-16,293,689",2,Kendalletal2017,chr16:15511655-16293689,chr16:15419156-16201190
16p12.2-p11.2,16p12.2-p11.2_7.1-8.7Mb,16p11.2p12.1,16,21503916,28255309,6751393,21003916,29354284,"chr16:21,596,415-28,347,808",2,Kendalletal2017,chr16:21596415-28347808,chr16:21503916-28255309
16p12.1,16p12.1_520kb,16p12.1,16,21857636,22339390,481754,21457636,22739390,"chr16:21,950,135-22,431,889",2,Kendalletal2017,chr16:21950135-22431889,chr16:21857636-22339390
16p11.2_distal,16p11.2distal_220kb,16p11.2,16,28730697,28954284,223587,28430697,29354284,"chr16:28,823,196-29,046,783",2,Kendalletal2017,chr16:28823196-29046783,chr16:28730697-28954284
