CNVofInterest,Syndrome,Locus,Chr,Start,Stop,Length,Pos_start,Pos_stop,hg19_original,n,source,hg38_converted
1p36_GABRD,1p36_GABRD,1p36,1,0,2568561,2568561,0,2868561,chr1:0-2500000,2,Kendalletal2017,chr1:0-2568561
1q21_TAR,TAR,1q21.1,1,145627236,146040040,412804,143527236,147740040,chr1:145394955-145807817,2,Kendalletal2017,chr1:145627236-146040040
1q21.1_distal,1q21.1_distal,1q21.1,1,147056425,147922330,865905,145856425,150022330,chr1:146527987-147394444,2,Kendalletal2017,chr1:147056425-147922330
1q21.1_distalprox,1q21.1_distalprox,1q21.1,1,145627236,147922330,2295094,143527236,150022330,chr1:145394955-147394444,2,own,chr1:145627236-147922330
2p16.3_NRXN1,NRXN1,2p16.3,2,49918505,51032536,1114031,48718505,51232536,chr2:50145643-51259674,1,Kendalletal2017,chr2:49918505-51032536
2q11.2,"2q11.2_LMAN2L,ARID5A",2q11.2,2,96076661,97011779,935118,95476661,97611779,chr2:96742409-97677516,2,Kendalletal2017,chr2:96076661-97011779
2q13_NHP1,2q13_NPHP1,2q13,2,110105139,110226371,121232,109505139,110826371,chr2:110862716-110983948,2,Kendalletal2017,chr2:110105139-110226371
2q13,2q13,2q13,2,110636463,111255072,618609,109036463,112855072,chr2:111394040-112012649,2,Kendalletal2017,chr2:110636463-111255072
2q21.1,2q21.1,2q21.1,2,130723735,131173104,449369,128323735,132573104,chr2:131481308-131930677,2,Kendalletal2017,chr2:130723735-131173104
2q37_HDAC4,2q37_HDAC4,2q37,2,238808038,242160331,3352293,238408038,242560331,chr2:239716679-243199373,2,Kendalletal2017,chr2:238808038-242160331
3q29,3q29,3q29,3,195993296,197627955,1634659,195593296,198027955,chr3:195720167-197354826,2,Kendalletal2017,chr3:195993296-197627955
4p16.3_WH,Wolf-Hirschhorn,4p16.3,4,1550303,2089576,539273,1150303,2489576,chr4:1552030-2091303,2,Kendalletal2017,chr4:1550303-2089576
5q35_Sotos,5q35_SotosSyndrome,5q35,5,176293921,177625593,1331672,175893921,178025593,chr5:175720924-177052594,2,Kendalletal2017,chr5:176293921-177625593
6q16_SIM1,6q16_SIM1,6q16,6,100388874,100463935,75061,99988874,100863935,chr6:100836750-100911811,2,Kendalletal2017,chr6:100388874-100463935
7q11.23_WBS,7q11.23_WBS,7q11.23,7,73330912,74728554,1397642,72030912,75728554,chr7:72744915-74142892,2,Kendalletal2017,chr7:73330912-74728554
7q11.23,7q11.23distal_1.2-Mb,7q11.23,7,75508972,76435095,926123,73808972,76835095,chr7:75138294-76064412,2,Kendalletal2017,chr7:75508972-76435095
8p23.1,8p23.1,8p23.1,8,8241468,12015049,3773581,6241468,14415049,chr8:8098990-11872558,2,Kendalletal2017,chr8:8241468-12015049
9q34_EHMT1,9q34_EHMT1,9q34 ,9,137618992,137836126,217134,137218992,138236126,chr9:140513444-140730578,2,Kendalletal2017,chr9:137618992-137836126
10q11.22-23,10q11.21q11.23,10q11.21q11.23,10,48182156,49850750,1668594,45382156,51050750,chr10:49390199-51058796,2,Kendalletal2017,chr10:48182156-49850750
10q23_NRG3_GRID1,"10q23_NRG3,GRID1",10q22q23,10,80285716,87171894,6886178,79085716,88071894,chr10:82045472-88931651,2,Kendalletal2017,chr10:80285716-87171894
11p11.2_EXT2,11p11.2_EXT2_Potocki_shaffer,11p11.2 ,11,43918450,45998449,2079999,43518450,46398449,chr11:43940000-46020000,2,Kendalletal2017,chr11:43918450-45998449
13q12.11_ZMYM5,13q12_CRYL1,13q12 ,13,20403667,20525873,122206,20003667,20925873,chr13:20977806-21100012,2,Kendalletal2017,chr13:20403667-20525873
13q12.12,13q12.12,13q12.12,13,22981219,24310484,1329265,22001219,26010484,chr13:23555358-24884622,2,Kendalletal2017,chr13:22981219-24310484
15q11.2,15q11.2BP1-BP2,15q11.2,15,22778538,23067755,289217,21478538,23767755,chr15:22805313-23094530,2,Kendalletal2017,chr15:22778538-23067755
15q11.2-13.1_BP1-2,15q11.2q12_PWS_AS,15q11.2q12,15,23067754,28145193,5077439,21467754,29745193,chr15:22805313-28390339,2,Kendalletal2017,chr15:23067754-28145193
15q13.1_BP3-4,"15q11q13BP3-BP4_APBA2,TJP1",15q13.1q13.2,15,28917241,30083764,1166523,28017241,31083764,chr15:29161368-30375967,2,Kendalletal2017,chr15:28917241-30083764
15q11q13_BP3_BP5,15q11q13BP3-BP5,15q13.1q13.3,15,28917241,32170575,3253334,28017241,33070575,chr15:29161368-32462776,2,Kendalletal2017,chr15:28917241-32170575
15q13.3_BP4-BP5,15q13.3BP4-BP5,15q13.3 ,15,30788442,32170575,1382133,29988442,33070575,chr15:31080645-32462776,2,Kendalletal2017,chr15:30788442-32170575
15q13.3_BP4.5-BP5,15q13.3_CHRNA7,15q13.3 ,15,31724867,32160867,436000,29988442,33070575,chr15:32017070-32453068,2,Kendalletal2017,chr15:31724867-32160867
15q24,15q24,15q24,15,72607830,77858911,5251081,72207830,78258911,chr15:72900171-78151253,2,Kendalletal2017,chr15:72607830-77858911
15q25,15q25,15q25.2,15,82550985,85178808,2627823,82150985,85578808,chr15:83219735-85722039,2,Kendalletal2017,chr15:82550985-85178808
16p13.3_Rubinstein_Taybi_CREBBP,Rubinstein-Taybi_CREBBP,16p13.3 ,16,3725055,3880120,155065,3325055,4280120,chr16:3775056-3930121,2,Kendalletal2017,chr16:3725055-3880120
16p13.11,16p13.11,16p13.11,16,15417798,16199832,782034,14217798,18599832,chr16:15511655-16293689,2,Kendalletal2017,chr16:15417798-16199832
16p12.2-p11.2,16p12.2-p11.2_7.1-8.7Mb,16p11.2p12.1,16,21585094,28336487,6751393,21185094,28736487,chr16:21596415-28347808,2,Kendalletal2017,chr16:21585094-28336487
16p12.1,16p12.1_520kb,16p12.1,16,21938814,22420568,481754,21038814,23220568,chr16:21950135-22431889,2,Kendalletal2017,chr16:21938814-22420568
16p11.2_distal,16p11.2distal_220kb,16p11.2,16,28811875,29035462,223587,28411875,30435462,chr16:28823196-29046783,2,Kendalletal2017,chr16:28811875-29035462
16p11.2_distalprox,16p11.2distalprox,16p11.2,16,28441875,30189452,1747577,28041875,30589452,chr16:28453196-30200773,1,own,chr16:28441875-30189452
16p11.2_proximal,16p11.2_593kb,16p11.2,16,29639519,30189452,549933,28739519,31089452,chr16:29650840-30200773,2,Kendalletal2017,chr16:29639519-30189452
17p13.3_YWHAE,17p13.3_YWHAE,17p13.3 ,17,1344540,1400262,55722,944540,1800262,chr17:1247834-1303556,2,Kendalletal2017,chr17:1344540-1400262
17p13.3_PAFAH1B1,17p13.3_PAFAH1B1,17p13.3 ,17,2593629,2685615,91986,2193629,3085615,chr17:2496923-2588909,2,Kendalletal2017,chr17:2593629-2685615
17p12,"17p12_Charcot_Marie,HereditaryNeuropathy_NNPP",17p12,17,14238070,15523647,1285577,13838070,15923647,chr17:14141387-15426961,2,Kendalletal2017,chr17:14238070-15523647
17p11.2,"17p11.2_Smith_Mageni,Potocki_Lupski",17p11.2,17,16909457,20307704,3398247,16509457,20707704,chr17:16812771-20211017,2,Kendalletal2017,chr17:16909457-20307704
17q11.2_NF1,17q11.2_NF1,17q11.2,17,30780473,31938056,1157583,30380473,32338056,chr17:29107491-30265075,2,Kendalletal2017,chr17:30780473-31938056
17q12,17q12_RenalCysts_RCAD,17q12,17,36460090,37857812,1397722,36060090,38757812,chr17:34815904-36217432,2,Kendalletal2017,chr17:36460090-37857812
17q21.31,17q21.31,17q21.31,17,45627990,46087325,459335,45227990,46487325,chr17:43705356-44164691,2,Kendalletal2017,chr17:45627990-46087325
17q23.1q23.2,17q23.1q23.2,17q23.1q23.2,17,60225028,62211780,1986752,59825028,62611780,chr17:58302389-60289141,2,Kendalletal2017,chr17:60225028-62211780
22q11_3Mb,22q11.2,22q11.2,22,19049819,21112437,2062618,18049819,22012437,chr22:19037332-21466726,2,Kendalletal2017,chr22:19049819--21112437
22q11_AB,22q11.2,22q11.2,22,19049819,20132477,1082658,18049819,20732477,_,2,own,_
22q11_distal,22q11.2distal,22q11.2,22,21565838,23311459,1745621,21165838,23711459,chr22:21920127-23653646,2,Kendalletal2017,chr22:21565838-23311459
SHANK3,SHANK3,22q13,22,50674642,50733212,58570,50274642,51133212,chr22:51113070-51171640,2,Kendalletal2017,chr22:50674642-50733212
